lots,trades,mean_gross,mean_base_slippage,mean_ladder_impact,mean_volume_impact,mean_oi_impact,mean_impact,mean_cost,mean_net,net_win_rate,mean_participation_impact,impact_to_base_ratio,ladder_share_of_impact
74,272,7602.2757352941135,4874.555285800593,6031.229421414294,793.2354942354427,176.87527037191143,7001.340186021647,13348.25125696986,-5745.975521675747,0.47794117647058826,970.1107646073542,1.436303370364124,0.8614392760768569
75,272,7705.009191176467,4940.427654527629,6196.468583644822,809.4350214899207,180.4891460649621,7186.392751199704,13616.48649328,-5911.4773021035335,0.47794117647058826,989.9241675548828,1.4546094495713893,0.8622501995330517
76,272,7807.742647058818,5006.300023254663,6363.940707527114,825.7432889666376,184.12730258849984,7373.811299082251,13887.086794275257,-6079.344147216439,0.47794117647058826,1009.8705915551375,1.472906390913511,0.8630463202006774
77,272,7910.476102941173,5072.172391981698,6533.6457930611705,842.1595757829186,187.78957897513217,7563.594947819221,14160.051278424438,-6249.575175483267,0.47794117647058826,1029.9491547580508,1.491194376550779,0.863828092082719
78,272,8013.209558823524,5138.0447607087335,6705.583840246991,858.6831752049254,191.47581741678982,7755.742832868706,14435.379081498251,-6422.169522674726,0.47794117647058826,1050.1589926217152,1.5094735826705588,0.8645959497043715
79,272,8115.943014705877,5203.917129435768,6879.754849084575,875.3133941908209,195.18586316271885,7950.254106438115,14713.069356010654,-6597.126341304776,0.47794117647058826,1070.4992573535396,1.5277441797579348,0.8653503091823631
80,272,8218.67647058823,5269.789498162803,7056.158819573923,892.0495529543178,198.9195644220248,8147.127936950265,14993.12127068516,-6774.4448000969305,0.47794117647058826,1090.9691173763426,1.5460063328507871,0.8660915692230153
81,272,8321.409926470584,5335.661866889838,7234.795751715035,908.8909845474618,202.67677227051107,8346.363508533008,15275.534009944635,-6954.124083474052,0.47794117647058826,1111.5677568179728,1.5642602017803857,0.8668201120546035
82,272,8424.143382352937,5401.534235616874,7415.665645507911,925.8370344615654,206.45734056157102,8547.960020531047,15560.306792072952,-7136.163409720013,0.47794117647058826,1132.2943750231364,1.5825059413984888,0.8675363042990939
83,272,8526.876838235288,5467.406604343909,7598.768500952551,942.8870602452989,210.26112584091044,8751.916687038762,15847.438816680875,-7320.561978445585,0.4742647058823529,1153.1481860862093,1.6007437017918655,0.8682404977878758
84,272,8629.610294117641,5533.278973070943,7784.104318048954,960.0404311389941,214.08798726489053,8958.23273645284,16136.929309084355,-7507.319014966712,0.47058823529411764,1174.1284184038846,1.618973628485076,0.8689330303257112
85,272,8732.343749999995,5599.151341797979,7971.6730967971225,977.2965277242901,217.93778652229662,9166.907411043709,16428.77751182753,-7696.433761827539,0.46691176470588236,1195.2343142465866,1.6371958626322942,0.8696142264067549
86,272,8835.077205882348,5665.0237105250135,8161.474837197053,994.6547415883023,221.81038775934977,9377.939966544705,16722.98268091261,-7887.905475030261,0.46691176470588236,1216.465129347652,1.6554105411988809,0.8702843978861747
87,272,8937.8106617647,5730.896079252048,8353.50953924875,1012.1144750015519,225.70565750779096,9591.329671758092,17019.544093447497,-8081.7334316827955,0.46691176470588236,1237.8201325093428,1.673617797133372,0.8709438446106034
88,272,9040.544117647054,5796.768447979084,8547.777202952208,1029.6751406089352,229.6234646158768,9807.07580817702,17318.461030414444,-8277.91691276739,0.46691176470588236,1259.298605224812,1.6918177595304917,0.8715928550103769
89,272,9143.277573529407,5862.640816706119,8744.277828307431,1047.3361611330652,233.56368018213846,10025.177669622635,17619.732778957252,-8476.455205427847,0.46691176470588236,1280.8998413152035,1.7100105537857608,0.8722317066562852
90,272,9246.01102941176,5928.513185433154,8943.011415314419,1065.0969690893546,237.52617749176164,10245.634561895535,17923.358654939602,-8677.347625527844,0.46691176470588236,1302.6231465811163,1.7281963017422148,0.8728606667833252
91,272,9348.744485294112,5994.385554160189,9143.97796397317,1082.9570065122505,241.510831955457,10468.445802440878,18229.33797198846,-8880.593486694352,0.46691176470588236,1324.4678384677075,1.7463751218297308,0.8734799927837532
92,272,9451.477941176465,6060.257922887225,9347.177474283686,1100.9157246920627,245.51752105069613,10693.610720026443,18537.670053699767,-9086.192112523302,0.46691176470588236,1346.4332457427588,1.7645471291973989,0.8740899326715507
