trade_date,entry_ts,trade_id,signal_family
2021-07-13,2021-07-13 04:51:00+00:00,309,phase7_180min
2021-07-13,2021-07-13 05:24:00+00:00,310,phase7_180min
2021-07-13,2021-07-13 05:31:00+00:00,311,phase7_180min
2021-07-14,2021-07-14 04:56:00+00:00,312,phase7_180min
2021-07-14,2021-07-14 05:05:00+00:00,313,phase7_180min
2021-07-14,2021-07-14 05:06:00+00:00,314,phase7_180min
2021-07-14,2021-07-14 05:11:00+00:00,315,phase7_180min
2021-07-14,2021-07-14 05:16:00+00:00,316,phase7_180min
2021-07-14,2021-07-14 07:07:00+00:00,317,phase7_180min
2021-07-15,2021-07-15 05:01:00+00:00,318,phase7_180min
2021-07-15,2021-07-15 05:13:00+00:00,319,phase7_180min
2021-07-15,2021-07-15 05:17:00+00:00,320,phase7_180min
2021-07-15,2021-07-15 05:25:00+00:00,321,phase7_180min
2021-07-15,2021-07-15 05:46:00+00:00,322,phase7_180min
2021-07-15,2021-07-15 06:34:00+00:00,323,phase7_180min
2021-07-15,2021-07-15 07:22:00+00:00,324,phase7_180min
2021-07-19,2021-07-19 05:20:00+00:00,325,phase7_180min
2021-07-19,2021-07-19 07:27:00+00:00,326,phase7_180min
2021-07-22,2021-07-22 04:56:00+00:00,327,phase7_180min
2021-07-22,2021-07-22 05:11:00+00:00,328,phase7_180min
2021-07-22,2021-07-22 05:28:00+00:00,329,phase7_180min
2021-07-22,2021-07-22 06:06:00+00:00,330,phase7_180min
2021-07-22,2021-07-22 06:36:00+00:00,331,phase7_180min
2021-07-22,2021-07-22 06:41:00+00:00,332,phase7_180min
2021-07-22,2021-07-22 08:32:00+00:00,333,phase7_180min
2021-07-23,2021-07-23 05:04:00+00:00,334,phase7_180min
2021-07-26,2021-07-26 08:44:00+00:00,335,phase7_180min
2021-07-26,2021-07-26 08:45:00+00:00,336,phase7_180min
2021-07-27,2021-07-27 04:59:00+00:00,337,phase7_180min
2021-07-27,2021-07-27 05:04:00+00:00,338,phase7_180min
2021-07-27,2021-07-27 05:24:00+00:00,339,phase7_180min
2021-07-27,2021-07-27 05:25:00+00:00,340,phase7_180min
2021-07-29,2021-07-29 04:56:00+00:00,341,phase7_180min
2021-07-29,2021-07-29 04:57:00+00:00,342,phase7_180min
2021-07-29,2021-07-29 05:03:00+00:00,343,phase7_180min
2021-07-29,2021-07-29 05:06:00+00:00,344,phase7_180min
2021-07-29,2021-07-29 05:09:00+00:00,345,phase7_180min
2021-07-29,2021-07-29 07:03:00+00:00,346,phase7_180min
2021-07-29,2021-07-29 08:29:00+00:00,347,phase7_180min
2021-07-30,2021-07-30 06:24:00+00:00,348,phase7_180min
2021-07-30,2021-07-30 06:38:00+00:00,349,phase7_180min
2021-08-02,2021-08-02 04:53:00+00:00,350,phase7_180min
2021-08-02,2021-08-02 04:58:00+00:00,351,phase7_180min
2021-08-02,2021-08-02 05:23:00+00:00,352,phase7_180min
2021-08-02,2021-08-02 05:38:00+00:00,353,phase7_180min
2021-08-02,2021-08-02 08:45:00+00:00,354,phase7_180min
2021-08-03,2021-08-03 04:58:00+00:00,355,phase7_180min
2021-08-03,2021-08-03 05:03:00+00:00,356,phase7_180min
2021-08-03,2021-08-03 05:10:00+00:00,357,phase7_180min
2021-08-03,2021-08-03 05:18:00+00:00,358,phase7_180min
2021-08-03,2021-08-03 08:03:00+00:00,359,phase7_180min
2021-08-03,2021-08-03 08:30:00+00:00,360,phase7_180min
2021-08-04,2021-08-04 04:53:00+00:00,361,phase7_180min
2021-08-04,2021-08-04 05:08:00+00:00,362,phase7_180min
2021-08-04,2021-08-04 05:10:00+00:00,363,phase7_180min
2021-08-04,2021-08-04 05:16:00+00:00,364,phase7_180min
2021-08-04,2021-08-04 05:30:00+00:00,365,phase7_180min
2021-08-05,2021-08-05 05:12:00+00:00,366,phase7_180min
2021-08-05,2021-08-05 05:13:00+00:00,367,phase7_180min
2021-08-05,2021-08-05 05:15:00+00:00,368,phase7_180min
2021-08-05,2021-08-05 06:03:00+00:00,369,phase7_180min
2021-08-05,2021-08-05 06:21:00+00:00,370,phase7_180min
2021-08-05,2021-08-05 07:35:00+00:00,371,phase7_180min
2021-08-05,2021-08-05 08:22:00+00:00,372,phase7_180min
2021-08-06,2021-08-06 06:33:00+00:00,373,phase7_180min
2021-08-10,2021-08-10 06:41:00+00:00,374,phase7_180min
2021-08-10,2021-08-10 07:43:00+00:00,375,phase7_180min
2021-08-12,2021-08-12 05:08:00+00:00,376,phase7_180min
2021-08-12,2021-08-12 05:09:00+00:00,377,phase7_180min
2021-08-12,2021-08-12 05:15:00+00:00,378,phase7_180min
2021-08-12,2021-08-12 05:19:00+00:00,379,phase7_180min
2021-08-12,2021-08-12 05:24:00+00:00,380,phase7_180min
2021-08-12,2021-08-12 08:08:00+00:00,381,phase7_180min
2021-08-12,2021-08-12 08:14:00+00:00,382,phase7_180min
2021-08-13,2021-08-13 04:55:00+00:00,383,phase7_180min
2021-08-13,2021-08-13 04:59:00+00:00,384,phase7_180min
2021-08-13,2021-08-13 05:59:00+00:00,385,phase7_180min
2021-08-13,2021-08-13 06:00:00+00:00,386,phase7_180min
2021-08-16,2021-08-16 08:14:00+00:00,387,phase7_180min
