date,net_pnl_rupees,equity,peak_equity,drawdown_rupees,drawdown_pct,daily_return
2023-10-12,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-13,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-16,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-17,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-18,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-19,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-20,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-23,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-24,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-25,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-26,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-27,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-30,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-31,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-01,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-02,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-03,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-06,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-07,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-08,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-09,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-10,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-13,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-14,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-15,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-16,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-17,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-20,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-21,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-22,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-23,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-24,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-11-27,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
